QID	Peptide	Unmod Peptide	References	Alignment Score	Min E-Value	Query Start	Query End	Num Identical
16385			[('tr_Q5VVV9_Q5VVV9_HUMAN', 73, 82), ('gi_413081359_ref_NP_001258640.1_', 73, 82), ('sp_Q9NY64_GTR8_HUMAN', 73, 82), ('gi_21361449_ref_NP_055395.2_', 73, 82)]	96	0.33	2	11	9
2			[('tr_H0YCE2_H0YCE2_HUMAN', 88, 100), ('##tr_M0R247_M0R247_HUMAN', 53, 63), ('##tr_E5RI98_E5RI98_HUMAN', 2, 9), ('tr_Q5TB25_Q5TB25_HUMAN', 124, 136), ('tr_Q5TB19_Q5TB19_HUMAN', 137, 149), ('##tr_G5E9H6_G5E9H6_HUMAN', 115, 123), ('tr_C9JCA5_C9JCA5_HUMAN', 115, 121), ('tr_Q5TB20_Q5TB20_HUMAN', 208, 220), ('gi_210147571_ref_NP_001129951.1_', 208, 220), ('sp_Q9BTT0-2_AN32E_HUMAN', 215, 227), ('gi_210147569_ref_NP_001129950.1_', 215, 227), ('tr_K7EIE8_K7EIE8_HUMAN', 211, 218), ('tr_C9JZN9_C9JZN9_HUMAN', 115, 121), ('tr_H9KVA2_H9KVA2_HUMAN', 115, 121), ('tr_F8WA37_F8WA37_HUMAN', 120, 126), ('sp_P45378-5_TNNT3_HUMAN', 121, 127), ('sp_P45378-4_TNNT3_HUMAN', 126, 132), ('sp_P45378-7_TNNT3_HUMAN', 126, 132), ('gi_112789541_ref_NP_001036247.1_', 126, 132), ('gi_112789536_ref_NP_001036245.1_', 126, 132), ('tr_A6NE78_A6NE78_HUMAN', 128, 134), ('sp_P45378-6_TNNT3_HUMAN', 132, 138), ('gi_112789538_ref_NP_001036246.1_', 132, 138), ('sp_P45378-2_TNNT3_HUMAN', 134, 140), ('gi_5803203_ref_NP_006748.1_', 134, 140), ('sp_O95983-2_MBD3_HUMAN', 235, 242), ('##sp_P06748-3_NPM_HUMAN', 86, 93), ('##gi_83641870_ref_NP_001032827.1_', 86, 93), ('tr_A6NN42_A6NN42_HUMAN', 136, 142), ('tr_J3KPJ1_J3KPJ1_HUMAN', 137, 143), ('sp_P45378-3_TNNT3_HUMAN', 137, 143), ('##sp_P06748-2_NPM_HUMAN', 92, 99), ('##gi_40353734_ref_NP_954654.1_', 92, 99), ('sp_Q9BTT0_AN32E_HUMAN', 256, 268), ('gi_13569879_ref_NP_112182.1_', 256, 268), ('sp_P45378_TNNT3_HUMAN', 145, 151), ('sp_O95983_MBD3_HUMAN', 267, 274), ('gi_4505119_ref_NP_003917.1_', 267, 274), ('##sp_P06748_NPM_HUMAN', 121, 128), ('##gi_10835063_ref_NP_002511.1_', 121, 128), ('##sp_Q96B18_DACT3_HUMAN', 563, 571), ('##gi_182507165_ref_NP_659493.2_', 563, 571), ('sp_Q9H1I8-3_ASCC2_HUMAN', 589, 595), ('gi_339275993_ref_NP_001229835.1_', 589, 595), ('##sp_Q9H1I8-3_ASCC2_HUMAN', 86, 96), ('##gi_339275993_ref_NP_001229835.1_', 86, 96), ('##tr_E9PBB9_E9PBB9_HUMAN', 597, 604), ('##sp_Q9UQF2_JIP1_HUMAN', 597, 604), ('##gi_4885433_ref_NP_005447.1_', 597, 604), ('##sp_P17480-2_UBF1_HUMAN', 77, 85), ('##gi_115529451_ref_NP_001070151.1_', 77, 85), ('##gi_115529449_ref_NP_001070152.1_', 77, 85), ('sp_Q9H1I8_ASCC2_HUMAN', 665, 671), ('gi_20270253_ref_NP_115580.2_', 665, 671), ('##sp_Q9H1I8_ASCC2_HUMAN', 86, 96), ('##gi_20270253_ref_NP_115580.2_', 86, 96), ('##sp_P17480_UBF1_HUMAN', 77, 85), ('##gi_7657671_ref_NP_055048.1_', 77, 85), ('##sp_Q9BUJ2-2_HNRL1_HUMAN', 752, 762), ('##sp_Q9BUJ2_HNRL1_HUMAN', 804, 814), ('##gi_21536326_ref_NP_008971.2_', 804, 814), ('##tr_E9PG89_E9PG89_HUMAN', 2011, 2018), ('##gi_158420731_ref_NP_001005271.2_', 2011, 2018), ('sp_Q12789-3_TF3C1_HUMAN', 1613, 1621), ('sp_Q12789_TF3C1_HUMAN', 1613, 1621), ('gi_101943240_ref_NP_001511.2_', 1613, 1621)]	84	0.88	2	14	10
3			[('tr_H7C137_H7C137_HUMAN', 118, 128), ('sp_P43487_RANG_HUMAN', 191, 201), ('gi_4506407_ref_NP_002873.1_', 191, 201)]	132	3.6e-06	1	11	11
4			[('tr_B4E2T8_B4E2T8_HUMAN', 428, 439), ('sp_P27824_CALX_HUMAN', 536, 547), ('gi_10716563_ref_NP_001737.1_', 536, 547), ('gi_66933005_ref_NP_001019820.1_', 536, 547), ('tr_B4DGP8_B4DGP8_HUMAN', 571, 582)]	144	1.4e-06	1	12	12
16390			[('##tr_F8W8Z4_F8W8Z4_HUMAN', 179, 184), ('##tr_E9PJ08_E9PJ08_HUMAN', 586, 591), ('##sp_Q2M3M2-2_SC5A9_HUMAN', 590, 595), ('##gi_206597487_ref_NP_001128653.1_', 590, 595), ('##sp_Q9BWT3_PAPOG_HUMAN', 49, 55), ('##gi_16306568_ref_NP_075045.2_', 49, 55), ('##sp_O75150-4_BRE1B_HUMAN', 179, 184), ('##gi_333440442_ref_NP_001193963.1_', 179, 184), ('##tr_H3BP71_H3BP71_HUMAN', 179, 184), ('##gi_333440440_ref_NP_001193962.1_', 178, 183), ('##sp_O75150_BRE1B_HUMAN', 179, 184), ('##gi_7662230_ref_NP_055586.1_', 179, 184), ('tr_B7Z651_B7Z651_HUMAN', 197, 202), ('##sp_Q5T5Y3_CAMP1_HUMAN', 1450, 1455), ('##gi_186659512_ref_NP_056262.3_', 1450, 1455), ('tr_D6RHE1_D6RHE1_HUMAN', 197, 202), ('##sp_Q5T5Y3-3_CAMP1_HUMAN', 1461, 1466), ('tr_E9PHW9_E9PHW9_HUMAN', 233, 238), ('sp_Q01484-5_ANK2_HUMAN', 197, 202), ('gi_188595682_ref_NP_001120965.1_', 197, 202), ('sp_Q01484-2_ANK2_HUMAN', 218, 223), ('gi_52426737_ref_NP_066187.2_', 218, 223), ('##tr_Q5TCU6_Q5TCU6_HUMAN', 1880, 1885), ('##sp_Q9Y490_TLN1_HUMAN', 1992, 1997), ('##gi_223029410_ref_NP_006280.3_', 1992, 1997), ('##sp_Q9Y4G6_TLN2_HUMAN', 1990, 1995), ('##gi_156938343_ref_NP_055874.2_', 1990, 1995), ('tr_I6L894_I6L894_HUMAN', 218, 223), ('sp_Q01484_ANK2_HUMAN', 218, 223), ('gi_52426735_ref_NP_001139.3_', 218, 223)]	72	27.0	6	11	6
8			[('tr_D6RF44_D6RF44_HUMAN', 78, 85), ('tr_F5H6R6_F5H6R6_HUMAN', 22, 29), ('tr_H0YA96_H0YA96_HUMAN', 80, 87), ('tr_D6RAF8_D6RAF8_HUMAN', 176, 183), ('##sp_P58397-2_ATS12_HUMAN', 26, 31), ('##tr_D6REX0_D6REX0_HUMAN', 29, 34), ('tr_H0Y8G5_H0Y8G5_HUMAN', 109, 116), ('sp_Q14103-4_HNRPD_HUMAN', 157, 164), ('gi_51477708_ref_NP_001003810.1_', 157, 164), ('tr_B4DTC3_B4DTC3_HUMAN', 124, 131), ('sp_Q14103-3_HNRPD_HUMAN', 176, 183), ('gi_14110414_ref_NP_002129.2_', 176, 183), ('sp_Q14103-2_HNRPD_HUMAN', 157, 164), ('gi_14110417_ref_NP_112737.1_', 157, 164), ('sp_Q14103_HNRPD_HUMAN', 176, 183), ('gi_14110420_ref_NP_112738.1_', 176, 183), ('##tr_F8W8V8_F8W8V8_HUMAN', 37, 42), ('##tr_H7BYH0_H7BYH0_HUMAN', 220, 225), ('##sp_P11166_GTR1_HUMAN', 37, 42), ('##gi_166795299_ref_NP_006507.2_', 37, 42), ('##sp_P07510_ACHG_HUMAN', 220, 225), ('##gi_61743914_ref_NP_005190.4_', 220, 225), ('##sp_P11168_GTR2_HUMAN', 37, 42), ('##gi_4557851_ref_NP_000331.1_', 37, 42), ('##sp_P58397-3_ATS12_HUMAN', 1306, 1311), ('##sp_P58397_ATS12_HUMAN', 1391, 1396), ('##gi_51558724_ref_NP_112217.2_', 1391, 1396)]	72	2.5	1	7	7
9			[('sp_Q58FF7_H90B3_HUMAN', 217, 228), ('gi_431822406_ref_NP_001258900.1_', 190, 201), ('gi_431822408_ref_NP_001258901.1_', 228, 239), ('sp_P08238_HS90B_HUMAN', 238, 249), ('gi_431822401_ref_NP_001258898.1_', 238, 249), ('gi_20149594_ref_NP_031381.2_', 238, 249), ('gi_431822403_ref_NP_001258899.1_', 238, 249)]	144	7.7e-07	1	12	12
10			[('tr_B7Z7A9_B7Z7A9_HUMAN', 112, 118), ('sp_P00558_PGK1_HUMAN', 140, 146), ('gi_4505763_ref_NP_000282.1_', 140, 146)]	84	1.1	1	7	7
16386			[('##tr_D6RH27_D6RH27_HUMAN', 18, 28), ('##tr_E7EV14_E7EV14_HUMAN', 34, 44), ('##tr_Q71QC9_Q71QC9_HUMAN', 35, 45), ('##tr_Q71QC6_Q71QC6_HUMAN', 37, 47), ('##tr_Q71QC5_Q71QC5_HUMAN', 56, 66), ('##tr_E7ENR0_E7ENR0_HUMAN', 58, 68), ('##tr_E7EPG5_E7EPG5_HUMAN', 69, 79), ('##tr_E7EWU7_E7EWU7_HUMAN', 71, 81), ('##tr_M0R0Q6_M0R0Q6_HUMAN', 57, 62), ('##tr_E7EPT0_E7EPT0_HUMAN', 76, 86), ('##tr_H7C315_H7C315_HUMAN', 113, 120), ('sp_Q16864-2_VATF_HUMAN', 78, 85), ('gi_312032453_ref_NP_001185838.1_', 78, 85), ('##tr_E7ERM8_E7ERM8_HUMAN', 138, 148), ('##tr_E7ETJ5_E7ETJ5_HUMAN', 148, 158), ('##sp_Q7L5L3-1_GDPD3_HUMAN', 250, 255), ('tr_H7C1K5_H7C1K5_HUMAN', 93, 98), ('sp_Q687X5-2_STEA4_HUMAN', 147, 154), ('gi_328887951_ref_NP_001192245.1_', 147, 154), ('tr_Q5T454_Q5T454_HUMAN', 267, 278), ('sp_Q96T76-7_MMS19_HUMAN', 276, 287), ('##sp_Q7L5L3_GDPD3_HUMAN', 250, 255), ('##gi_146198640_ref_NP_077283.2_', 250, 255), ('##sp_Q9NQX6_ZN331_HUMAN', 434, 444), ('##gi_359385688_ref_NP_001240728.1_', 434, 444), ('##gi_359385690_ref_NP_001240729.1_', 434, 444), ('##gi_359385692_ref_NP_001240730.1_', 434, 444), ('##gi_121583655_ref_NP_061025.5_', 434, 444), ('##gi_120952829_ref_NP_001073375.1_', 434, 444), ('##gi_120952914_ref_NP_001073376.1_', 434, 444), ('##gi_359385736_ref_NP_001240727.1_', 434, 444), ('##sp_Q8IYT4-2_KATL2_HUMAN', 9, 16), ('##gi_226371754_ref_NP_112593.2_', 9, 16), ('##sp_Q8IYT4_KATL2_HUMAN', 9, 16), ('##sp_O95954_FTCD_HUMAN', 62, 69), ('##gi_11140815_ref_NP_006648.1_', 62, 69), ('##gi_46255035_ref_NP_996848.1_', 62, 69), ('tr_E9PGE5_E9PGE5_HUMAN', 497, 502), ('##sp_O95954-2_FTCD_HUMAN', 93, 100), ('gi_47578113_ref_NP_998797.1_', 82, 87), ('##sp_Q6ECI4-2_ZN470_HUMAN', 554, 559), ('gi_47578111_ref_NP_998796.1_', 82, 87), ('tr_H0Y3S5_H0Y3S5_HUMAN', 103, 108), ('sp_Q9NUY8-2_TBC23_HUMAN', 619, 624), ('gi_217035118_ref_NP_060779.2_', 619, 624), ('sp_Q9NUY8_TBC23_HUMAN', 634, 639), ('gi_312837064_ref_NP_001186127.1_', 634, 639), ('##sp_Q6ECI4_ZN470_HUMAN', 672, 677), ('##gi_154091003_ref_NP_001001668.3_', 672, 677), ('sp_Q5VZ46-2_K1614_HUMAN', 210, 215), ('tr_H7BZY8_H7BZY8_HUMAN', 58, 63), ('sp_Q96T76-5_MMS19_HUMAN', 276, 287), ('sp_Q96PN7-2_TREF1_HUMAN', 782, 787), ('sp_Q96PN7-3_TREF1_HUMAN', 794, 799), ('sp_Q96T76-9_MMS19_HUMAN', 233, 244), ('sp_Q96T76_MMS19_HUMAN', 276, 287), ('gi_170763479_ref_NP_071757.4_', 276, 287), ('tr_E7ETR9_E7ETR9_HUMAN', 72, 77), ('sp_Q96T76-8_MMS19_HUMAN', 297, 308), ('gi_194595501_ref_NP_689716.4_', 82, 87), ('tr_H0Y2W4_H0Y2W4_HUMAN', 99, 104), ('sp_Q9NQW6-2_ANLN_HUMAN', 702, 707), ('sp_Q96PN7-4_TREF1_HUMAN', 943, 948), ('sp_Q9NQW6_ANLN_HUMAN', 739, 744), ('gi_31657094_ref_NP_061155.2_', 739, 744), ('sp_Q96PN7-5_TREF1_HUMAN', 955, 960), ('sp_Q5VZ46_K1614_HUMAN', 589, 594), ('gi_149274646_ref_NP_066001.1_', 589, 594), ('sp_Q96PN7_TREF1_HUMAN', 1026, 1031), ('gi_15812226_ref_NP_277037.1_', 1026, 1031), ('tr_Q05GC8_Q05GC8_HUMAN', 1046, 1051), ('##tr_H0YLX2_H0YLX2_HUMAN', 151, 156), ('##tr_C9JU50_C9JU50_HUMAN', 156, 161), ('##sp_Q2KHR2-2_RFX7_HUMAN', 156, 161), ('##tr_H0YLP2_H0YLP2_HUMAN', 238, 243), ('##sp_Q2KHR2_RFX7_HUMAN', 238, 243), ('##gi_148613886_ref_NP_073752.5_', 238, 243), ('sp_Q562E7-4_WDR81_HUMAN', 174, 181), ('sp_Q562E7_WDR81_HUMAN', 174, 181), ('gi_255759952_ref_NP_001157281.1_', 174, 181), ('##tr_J3QK84_J3QK84_HUMAN', 5655, 5660), ('##sp_P20929_NEBU_HUMAN', 5655, 5660), ('##gi_115527120_ref_NP_004534.2_', 5655, 5660), ('##tr_F8WCL5_F8WCL5_HUMAN', 7511, 7516), ('##tr_F8WCP0_F8WCP0_HUMAN', 7511, 7516), ('##gi_257743023_ref_NP_001157979.1_', 7511, 7516), ('##gi_257743025_ref_NP_001157980.1_', 7511, 7516), ('##gi_403310693_ref_NP_001258137.1_', 7546, 7551)]	72	1.4	1	12	9
16398			[('tr_H0YNU8_H0YNU8_HUMAN', 16, 30), ('sp_Q9NYL9_TMOD3_HUMAN', 16, 30), ('gi_7657649_ref_NP_055362.1_', 16, 30)]	180	3.9e-12	3	17	15
